## 开始执行... 2023-06-01 10:32:31

[10:32:32][广汽传祺库存查询]开始运行
[一言]: 千军万马滚滚来，不知何人留情怀！  by--Other

-------------- 用户信息 --------------

============== 小祺IP专区 ==============
小祺手办首发款 能量探索精灵, 所需积分-10800, 剩余-987个
发动机下护板, 积分-26800, 剩余-86个
智能手表钥匙, 积分-158000, 剩余-38个
智能手表钥匙（影豹）, 积分-null, 剩余-1个
影豹车型下护板, 积分-null, 剩余-71个
智能手表钥匙（影酷定制款）, 积分-null, 剩余-3个
EMKOO金属车模, 积分-null, 剩余-81个
全新第二代GS8金属车模, 积分-null, 剩余-2个
手机支架（影速专用无线充电款）, 积分-null, 剩余-6个
全新第二代M8金属车模, 积分-null, 剩余-2个
E9户外露营套装, 积分-null, 剩余-5个
车载KTV麦克风（唱吧）, 积分-null, 剩余-5个
自动开启帐篷（牧高笛联名款）, 积分-null, 剩余-3个
便携式保温箱（牧高笛联名款）, 积分-null, 剩余-3个
折叠拖车（牧高笛联名款）, 积分-null, 剩余-3个
实木蝴蝶椅（牧高笛联名款）, 积分-null, 剩余-2个
实木折叠低躺椅（牧高笛联名款）, 积分-null, 剩余-2个
铝合金蛋卷桌（牧高笛联名款）, 积分-null, 剩余-3个
仿羊羔绒野餐垫（牧高笛联名款）, 积分-null, 剩余-3个
天幕（牧高笛联名款）, 积分-null, 剩余-5个
EMPOW18寸锻造轮毂（单个, 积分-null, 剩余-20个
影豹积木车模, 积分-null, 剩余-0个
影豹车型平面脚垫（黑黄款）, 积分-null, 剩余-13个
影豹车型行李箱防水垫, 积分-null, 剩余-49个
EMPOW行李箱垫（黑色时尚款, 积分-null, 剩余-49个
影豹车型挡泥板, 积分-null, 剩余-48个
影豹车型尾翼, 积分-null, 剩余-50个
影豹车型立体脚垫, 积分-null, 剩余-19个
影豹车型平面脚垫（普通款）, 积分-null, 剩余-17个
EMPOW全景天幕遮阳帘, 积分-null, 剩余-38个
EMPOW车身拉花, 积分-null, 剩余-39个
全新GS8电动踏板, 积分-null, 剩余-8个

============== 爱车养护 ==============
进气系统清洁保护剂, 积分-16500, 剩余-4993个
发动机系统保护剂, 积分-15800, 剩余-4990个
发动机系统清洁剂, 积分-15000, 剩余-4986个
CN95高效空调滤芯, 积分-13800, 剩余-1192个
燃油系统保护剂, 积分-13500, 剩余-4973个
发动机舱外部养护套装, 积分-12000, 剩余-4996个
四合一车身养护套装, 积分-12500, 剩余-4997个
玻璃防雨镀膜套装, 积分-null, 剩余-4982个
发动机系统清洁剂, 积分-null, 剩余-51个
燃油系统保护剂, 积分-null, 剩余-15个
发动机系统保护剂, 积分-null, 剩余-165个
进气系统清洁保护剂, 积分-null, 剩余-102个

============== 推送 ==============
Bark APP发送通知调用API失败！！

HTTPError: Response code 414 (Request-URI Too Large)
    at Request.<anonymous> (/ql/data/scripts/node_modules/.pnpm/registry.npmmirror.com+got@11.8.5/node_modules/got/dist/source/as-promise/index.js:118:42)
    at processTicksAndRejections (node:internal/process/task_queues:96:5) {
  code: 'ERR_NON_2XX_3XX_RESPONSE',
  timings: {
    start: 1685586758166,
    socket: 1685586758174,
    lookup: 1685586758178,
    connect: 1685586758180,
    secureConnect: 1685586758668,
    upload: 1685586758669,
    response: 1685586758846,
    end: 1685586758847,
    error: undefined,
    abort: undefined,
    phases: {
      wait: 8,
      dns: 4,
      tcp: 2,
      tls: 488,
      request: 1,
      firstByte: 177,
      download: 1,
      total: 681
    }
  }
}
telegram发送通知消息失败！！

HTTPError: Response code 400 (Bad Request)
    at Request.<anonymous> (/ql/data/scripts/node_modules/.pnpm/registry.npmmirror.com+got@11.8.5/node_modules/got/dist/source/as-promise/index.js:118:42)
    at processTicksAndRejections (node:internal/process/task_queues:96:5) {
  code: 'ERR_NON_2XX_3XX_RESPONSE',
  timings: {
    start: 1685586758171,
    socket: 1685586758175,
    lookup: 1685586758178,
    connect: 1685586758181,
    secureConnect: 1685586758989,
    upload: 1685586758990,
    response: 1685586759307,
    end: 1685586759308,
    error: undefined,
    abort: undefined,
    phases: {
      wait: 4,
      dns: 3,
      tcp: 3,
      tls: 808,
      request: 1,
      firstByte: 317,
      download: 1,
      total: 1137
    }
  }
}
[广汽传祺库存查询]运行结束，共运行了7.246秒

## 执行结束... 2023-06-01 10:32:39 耗时 8 秒
